input_vars,expected_output
"{""name"": ""Jalsa"", ""online_order"": ""Yes"", ""book_table"": ""Yes"", ""rate"": ""4.1/5"", ""votes"": ""775"", ""approx_cost(for two people)"": ""800""}",Buffet
"{""name"": ""Spice Elephant"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""4.1/5"", ""votes"": ""787"", ""approx_cost(for two people)"": ""800""}",Buffet
"{""name"": ""San Churro Cafe"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""918"", ""approx_cost(for two people)"": ""800""}",Buffet
"{""name"": ""Addhuri Udupi Bhojana"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.7/5"", ""votes"": ""88"", ""approx_cost(for two people)"": ""300""}",Buffet
"{""name"": ""Grand Village"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""166"", ""approx_cost(for two people)"": ""600""}",Buffet
"{""name"": ""Timepass Dinner"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""286"", ""approx_cost(for two people)"": ""600""}",Buffet
"{""name"": ""Rosewood International Hotel - Bar & Restaurant"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.6/5"", ""votes"": ""8"", ""approx_cost(for two people)"": ""800""}",Buffet
"{""name"": ""Onesta"", ""online_order"": ""Yes"", ""book_table"": ""Yes"", ""rate"": ""4.6/5"", ""votes"": ""2556"", ""approx_cost(for two people)"": ""600""}",Cafes
"{""name"": ""Penthouse Cafe"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""4.0/5"", ""votes"": ""324"", ""approx_cost(for two people)"": ""700""}",other
"{""name"": ""Smacznego"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""4.2/5"", ""votes"": ""504"", ""approx_cost(for two people)"": ""550""}",Cafes
"{""name"": ""Village Caf\u00e9"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""4.1/5"", ""votes"": ""402"", ""approx_cost(for two people)"": ""500""}",Cafes
"{""name"": ""Cafe Shuffle"", ""online_order"": ""Yes"", ""book_table"": ""Yes"", ""rate"": ""4.2/5"", ""votes"": ""150"", ""approx_cost(for two people)"": ""600""}",Cafes
"{""name"": ""The Coffee Shack"", ""online_order"": ""Yes"", ""book_table"": ""Yes"", ""rate"": ""4.2/5"", ""votes"": ""164"", ""approx_cost(for two people)"": ""500""}",Cafes
"{""name"": ""Caf-Eleven"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""4.0/5"", ""votes"": ""424"", ""approx_cost(for two people)"": ""450""}",Cafes
"{""name"": ""San Churro Cafe"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""918"", ""approx_cost(for two people)"": ""800""}",Cafes
"{""name"": ""Cafe Vivacity"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""90"", ""approx_cost(for two people)"": ""650""}",Cafes
"{""name"": ""Catch-up-ino"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.9/5"", ""votes"": ""133"", ""approx_cost(for two people)"": ""800""}",Cafes
"{""name"": ""Kirthi's Biryani"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""144"", ""approx_cost(for two people)"": ""700""}",Cafes
"{""name"": ""T3H Cafe"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.9/5"", ""votes"": ""93"", ""approx_cost(for two people)"": ""300""}",Cafes
"{""name"": ""360 Atoms Restaurant And Cafe"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.1/5"", ""votes"": ""13"", ""approx_cost(for two people)"": ""400""}",Cafes
"{""name"": ""The Vintage Cafe"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.0/5"", ""votes"": ""62"", ""approx_cost(for two people)"": ""400""}",Cafes
"{""name"": ""Woodee Pizza"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.7/5"", ""votes"": ""180"", ""approx_cost(for two people)"": ""500""}",Cafes
"{""name"": ""Cafe Coffee Day"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.6/5"", ""votes"": ""28"", ""approx_cost(for two people)"": ""900""}",Cafes
"{""name"": ""My Tea House"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.6/5"", ""votes"": ""62"", ""approx_cost(for two people)"": ""600""}",Cafes
"{""name"": ""Hide Out Cafe"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.7/5"", ""votes"": ""31"", ""approx_cost(for two people)"": ""300""}",Cafes
"{""name"": ""CAFE NOVA"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.2/5"", ""votes"": ""11"", ""approx_cost(for two people)"": ""600""}",Cafes
"{""name"": ""Coffee Tindi"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""75"", ""approx_cost(for two people)"": ""200""}",Cafes
"{""name"": ""Sea Green Cafe"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.3/5"", ""votes"": ""4"", ""approx_cost(for two people)"": ""500""}",Cafes
"{""name"": ""Cuppa"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.3/5"", ""votes"": ""23"", ""approx_cost(for two people)"": ""550""}",Cafes
"{""name"": ""Srinathji's Cafe"", ""online_order"": ""No"", ""book_table"": ""No"", ""rate"": ""3.8/5"", ""votes"": ""148"", ""approx_cost(for two people)"": ""550""}",Cafes
"{""name"": ""Redberrys"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""4.0/5"", ""votes"": ""219"", ""approx_cost(for two people)"": ""600""}",Cafes
"{""name"": ""Foodiction"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""2.8/5"", ""votes"": ""506"", ""approx_cost(for two people)"": ""500""}",other
"{""name"": ""Sweet Truth"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.9/5"", ""votes"": ""35"", ""approx_cost(for two people)"": ""500""}",Dining
"{""name"": ""Ovenstory Pizza"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""3.9/5"", ""votes"": ""172"", ""approx_cost(for two people)"": ""750""}",Dining
"{""name"": ""Faasos"", ""online_order"": ""Yes"", ""book_table"": ""No"", ""rate"": ""4.2/5"", ""votes"": ""415"", ""approx_cost(for two people)"": ""500""}",other
